"date","out.ch","out_incl_losses.ch","in.ch"
2009-09-09,151534194.847,166924570.031,180885554.427
2009-09-10,150804206.949,166305653.6425,173343832.276
2009-09-11,150509917.058,166682203.3185,169937178.653
2009-09-12,128937986.636,145275897.0065,151257774.34
2009-09-13,116656086.105,136279740.72925,141514956.536
2009-09-14,150553660.377,165728802.40525,168946193.177
2009-09-15,156259407.343,171553094.03175,156080993.446
2009-09-16,158567814.268,173111291.65775,160622801.304
2009-09-17,158030967.195,172736620.99525,170442562.944
2009-09-18,155253375.663,169232619.82775,170193171.289
2009-09-19,131026581.489,145039692.78,145404901.402
2009-09-20,117952209.985,134832590.44675,141494003.851
2009-09-21,149187377.037,162532419.5525,172906252.777
2009-09-22,155155668.679,170705114.46175,161181326.822
2009-09-23,155622291.995,170149451.00225,163315344.818
2009-09-24,155945318.461,170804194.09175,163714684.52
2009-09-25,153318997.898,168034611.988,163759298.358
2009-09-26,129203882.745,147224556.524,144491064.635
2009-09-27,116815789.265,133392020.10725,137848619.378
2009-09-28,148907557.299,162069033.07875,171649087.283
2009-09-29,153129339.672,165904850.393,171493094.567
2009-09-30,154019579.453,166514160.081,180864114.009
2009-10-01,154664352.034,167710121.5875,167504738.662
2009-10-02,151760000.805,165586036.208,155287632.665
2009-10-03,129253844.822,144793957.65275,141493673.143
2009-10-04,117479280.802,138028085.89625,134107732.58
2009-10-05,151787127.066,165915174.21325,171510170.354
2009-10-06,154906629.952,169822557.10775,172327994.571
2009-10-07,151810351.246,168288151.196,154163472.237
2009-10-08,154980610.351,170986353.36675,158233486.078
2009-10-09,153184414.823,169651794.5385,157058527.259
2009-10-10,131862263.302,151267034.51175,147644703.273
2009-10-11,119646233.617,138936276.93575,135531472.668
2009-10-12,155769794.582,171384333.873,150988020.681
2009-10-13,161747052.028,174949872.27175,149978189.532
2009-10-14,164343530.81,177371062.88175,161964963.971
2009-10-15,168671203.198,181335503.3645,177331586.001
2009-10-16,168269974.755,180516689.37375,162812268.197
2009-10-17,148119750.262,158664006.42825,153845823.572
2009-10-18,137723450.148,153586564.88875,132618371.38
2009-10-19,168933558.498,182540080.2865,179510689.165
2009-10-20,172752003.584,185893976.35925,165602754.276
2009-10-21,169552182.54,183382968.61225,174630656.516
2009-10-22,167724809.328,181561143.9435,168649704.714
2009-10-23,167345667.761,183147235.892,160701889.509
2009-10-24,142042623.055,163765313.05175,128757366.42
2009-10-25,134458406.153,154648973.06,132068225.012
2009-10-26,161073891.326,174513172.77525,147916866.196
2009-10-27,166277859.827,179670579.5795,153406068.026
2009-10-28,167307599.4,180394530.89475,162583171.678
2009-10-29,166361559.217,179521321.7085,160247822.41
