"date","ch.ozd.e.wa.index.re.d11","ch.ozd.i.wa.index.re.d11","ch.ozd.e.total.index.re.d11","ch.ozd.i.total.index.re.d11","ch.cpa.e.real.index.sa.2012","ch.cpa.i.real.index.sa.2012"
"2006-09-01",171.807466158127,158.168205621265,173.423890034563,155.700167602619,NA,NA
"2006-10-01",178.091764477855,168.007036000089,176.981120402992,165.972818740116,NA,NA
"2006-11-01",177.847242160762,169.150259825317,178.637547526985,171.03705905245,NA,NA
"2006-12-01",184.148150377627,175.524353305758,180.893275635078,188.57623590023,NA,NA
"2007-01-01",182.485131781644,170.094060139702,181.806147874522,168.627421268156,NA,NA
"2007-02-01",181.953567712578,169.541987088978,182.02535592602,167.11600782783,NA,NA
"2007-03-01",183.92872540455,173.253410999526,182.789874077021,169.24603003664,NA,NA
"2007-04-01",181.05924535506,174.216174287841,183.777973644931,172.442782373629,NA,NA
"2007-05-01",185.572526172469,180.274451989794,186.517679758837,176.961043706793,NA,NA
"2007-06-01",193.111719345126,180.918829420673,191.158497679313,178.929877863028,NA,NA
"2007-07-01",193.114860190685,183.807510113954,191.513064248481,181.930877485436,NA,NA
"2007-08-01",188.000529462544,177.399627106938,190.015972817508,172.569003031457,NA,NA
"2007-09-01",193.228722382877,180.936086128489,190.009577178497,176.29086811683,NA,NA
"2007-10-01",193.14053292229,184.350728289134,191.411271763565,182.648691756699,NA,NA
"2007-11-01",194.956886233096,181.411530554009,191.094893452797,180.188725619185,NA,NA
"2007-12-01",185.755764699201,181.178842400783,189.705739476685,180.859907690005,NA,NA
"2008-01-01",189.386206854293,179.973593277641,191.921240751463,177.671425569345,NA,NA
"2008-02-01",196.450437793379,181.079079005371,196.029584769737,179.73556164211,NA,NA
"2008-03-01",196.503053928272,179.260952302401,197.349857689108,175.653207828774,NA,NA
"2008-04-01",202.390025578179,185.068773595325,197.386896736702,185.227722116954,NA,NA
"2008-05-01",199.968446095814,185.307887298363,199.663065630551,184.270998335814,NA,NA
"2008-06-01",210.296032498132,189.08619990412,203.932437922876,187.467109036745,NA,NA
"2008-07-01",204.991214237281,187.637008478487,204.11461486066,187.811274673047,NA,NA
"2008-08-01",205.946890146881,187.217293864554,200.781249321435,184.706379997828,NA,NA
"2008-09-01",196.547907061551,184.555257740209,195.611021371972,182.300624212199,NA,NA
"2008-10-01",189.003000389047,174.906250389247,190.403705472347,174.480128369968,NA,NA
"2008-11-01",188.276249328151,171.29676540877,183.387004342661,168.94136596199,NA,NA
"2008-12-01",169.195373526093,163.069939226792,175.772580014648,159.028492074471,NA,NA
"2009-01-01",174.919671157172,155.206307538332,173.232316566593,152.381058574504,NA,NA
"2009-02-01",170.318019437315,164.022388347681,170.754351621128,162.835016801763,NA,NA
"2009-03-01",163.590656438091,157.973874913091,169.266607777325,156.817569518887,NA,NA
"2009-04-01",179.12871181489,149.826921888902,171.149327137701,147.452580514392,NA,NA
"2009-05-01",167.42465716633,150.967890908526,168.49035419739,148.711391112346,NA,NA
"2009-06-01",160.823555492776,150.55386349575,166.663698179638,150.842570330908,NA,NA
"2009-07-01",170.971715098609,153.8784611034,170.542016440612,154.13855392537,NA,NA
"2009-08-01",177.149182264135,154.022550341688,173.344674683947,148.46324280927,NA,NA
"2009-09-01",172.125999803853,156.723486541097,172.88835115485,154.086852279223,NA,NA
"2009-10-01",175.035767641467,155.128975133869,173.559694572136,153.252773816522,NA,NA
"2009-11-01",176.956618290402,160.455180771178,175.238814876163,160.185289693977,NA,NA
"2009-12-01",177.387709098556,156.128493436545,177.596207195623,153.912017578161,NA,NA
"2010-01-01",179.615120203727,155.702449574979,181.139234376775,155.578040092743,NA,NA
"2010-02-01",177.444011535871,165.00756526707,182.530530093293,160.603585531437,NA,NA
"2010-03-01",184.18608945827,162.058542315506,183.315499993121,161.786450350002,NA,NA
"2010-04-01",184.860066687891,159.904373459151,184.589335422091,157.72313710422,NA,NA
"2010-05-01",184.924237092496,185.332225958609,187.987303581107,182.104304265743,NA,NA
"2010-06-01",187.090796258874,173.988102981206,189.241920212112,173.089838798416,NA,NA
"2010-07-01",183.462081997231,161.330693716986,187.712398280731,162.141441015004,NA,NA
"2010-08-01",189.971412396716,184.018218377234,184.607388944423,176.507624484114,NA,NA
"2010-09-01",179.419011803963,167.024372784338,181.683876648736,162.806385041179,NA,NA
"2010-10-01",185.650659531863,170.838169498152,182.963738858901,168.849226656889,NA,NA
"2010-11-01",185.083527979011,171.828182307078,186.115744519828,171.376357709472,NA,NA
"2010-12-01",190.877692196976,170.67624425964,187.73399921618,169.483686794814,NA,NA
"2011-01-01",189.570379080304,171.767392687692,190.843124475942,167.867555963195,NA,NA
"2011-02-01",195.650380088694,171.005199113755,192.145197082654,168.651080270212,NA,NA
"2011-03-01",187.703300934205,173.331351743029,190.257176055735,169.559894081749,NA,NA
"2011-04-01",193.839158687976,175.890148361413,192.907908742529,175.003081165427,NA,NA
"2011-05-01",210.119054354057,179.737735075388,194.299668565966,177.520773045244,NA,NA
"2011-06-01",170.983513536754,157.973119752862,187.394652394776,161.134440156773,NA,NA
"2011-07-01",187.051866554474,165.257426229185,184.545193095123,164.618735923402,NA,NA
"2011-08-01",175.16540823386,166.822633656139,183.939825621125,161.699309372792,NA,NA
"2011-09-01",184.646054275199,170.32220716851,186.499815319089,168.544968252531,NA,NA
"2011-10-01",189.598897296994,173.069645322516,189.017379207934,171.497106631422,NA,NA
"2011-11-01",187.525912993037,163.135567146895,190.531577422515,165.508526580959,NA,NA
"2011-12-01",199.020453188842,169.899277522714,191.777205429766,168.771592391959,NA,NA
"2012-01-01",190.448254633499,179.319037515524,271.130400266398,279.112148873966,98.5712361102557,101.099213205219
"2012-02-01",189.605879405652,163.283214495721,260.097597063765,253.439708834016,101.491876408682,96.5242360024413
"2012-03-01",187.333005011518,167.098009211622,253.351562825734,224.511548729737,98.9984484357977,99.0883692104938
"2012-04-01",185.06702664813,168.700325029781,255.136642491793,242.470677605202,97.355919046181,97.7107937176265
"2012-05-01",192.313937598741,170.816306436305,259.576131322528,231.755884916363,103.110484833371,102.170358487396
"2012-06-01",190.770059957091,171.190571482898,261.114968832405,255.838149144154,97.9006986519022,97.2909043306512
"2012-07-01",191.373838974808,169.083329510008,268.648952731085,258.308187233814,98.1841703060905,99.4952029877826
"2012-08-01",196.159160786283,176.72517989499,282.461994941159,276.070211274751,100.509049343089,100.766696701459
