"date","ch.fso.rtt.ind.r.noga0801.sa","ch.fso.rtt.ind.r.noga0803.sa","ch.fso.rtt.ind.r.noga0804.sa","ch.fso.rtt.ind.r.noga0805.sa","ch.fso.rtt.ind.r.noga0806.sa","ch.fso.rtt.ind.r.noga0807.sa","ch.fso.rtt.ind.r.noga0808.sa"
"2015-07",92.88,88.47,95.1,54.54,96.01,111.21,105.35
"2015-08",92.58,87.88,95.51,57.54,95.82,111.9,105.41
"2015-09",92.67,87.88,95.62,55.63,98.2,112.28,103.79
"2015-10",92.34,88.56,94.22,55,98.52,113.41,100.87
"2015-11",91.18,88.07,91.91,53.77,93.32,111.28,100.66
"2015-12",92.54,89.65,94.52,59.69,97.31,107.01,102.29
"2016-01",91.84,89.85,93.75,52.18,96.86,110.46,101.34
"2016-02",91.16,88,93.14,55.49,99.01,106.94,100.12
"2016-03",90.87,87.67,92.3,55.12,94.26,110.49,98.47
"2016-04",91.04,87.73,92.83,58.47,98.7,110.41,97.93
"2016-05",91.59,87.75,93.68,57.49,96.27,108.37,102.44
"2016-06",90.08,86.23,92.42,58.55,97.08,108.06,97.64
"2016-07",91.01,87.62,92.39,57.04,95.7,107.67,98.38
"2016-08",91.07,87.96,92.6,56.31,92.9,108.43,99.62
"2016-09",91.51,88.35,92.79,56.25,94.3,107.74,99.19
"2016-10",92.54,88.72,94.55,61.03,96.15,109.05,101.79
"2016-11",91.95,87.83,93.93,56.72,96.57,108.92,101.99
"2016-12",89.8,84.31,92.94,60.61,99.54,100.24,98.67
"2017-01",92.69,90.83,93.4,56.21,92.96,104.61,102.47
"2017-02",92.91,88.71,94.68,59.26,99.58,105.53,101.33
"2017-03",94.24,90.48,96.79,62.19,100.32,105.69,103.59
"2017-04",90.96,88.96,91.62,59.12,94.51,105.11,96.81
"2017-05",92.44,89.5,94.12,60.64,94.47,104.45,101.52
"2017-06",92.69,90.4,93.32,60.1,96.7,105.24,98.83
"2017-07",92.21,89.21,94.22,63.04,101.96,103.95,98.5
"2017-08",91.68,88.43,93.66,60.85,101.18,103.02,98.13
"2017-09",94.05,90.75,96.26,62.54,101.92,105.32,99.87
"2017-10",91.74,89.92,92.37,60.31,98.99,104.22,97.36
"2017-11",93.44,90.22,95.21,61.09,98.1,104.91,101.72
"2017-12",93.02,89.34,95.42,65.68,98.6,104.3,100.27
"2018-01",93.08,90.31,95.15,62.8,101.95,102.78,99.77
"2018-02",93.14,90.52,94.36,61.56,97.15,103.75,99.83
"2018-03",94.05,91.22,94.7,61.76,98.12,103.45,98.86
"2018-04",93.73,90.54,95.31,60.8,98.99,103.34,101.39
"2018-05",93.17,90.51,94.1,60.67,99.21,104.67,98.99
"2018-06",94.32,91.3,94.81,63.17,100.07,102.45,99.55
"2018-07",93.05,90.31,94.73,63.86,94.73,103.2,100.71
"2018-08",93.76,90.64,95.05,63.02,95.49,101.84,101.37
"2018-09",92.56,90.07,93.18,63.58,95.6,101.99,96.88
"2018-10",93.83,91.2,94.18,64.81,95.98,101.45,99.75
"2018-11",93.36,91.07,93.41,65.37,95.01,100.98,97.43
"2018-12",93.5,91.33,94.13,63.77,94.63,102.57,99.18
"2019-01",93.87,90.89,95.15,65.57,93.21,104.8,100.62
"2019-02",93.66,89.73,95.77,66.2,92.38,103.37,102.63
"2019-03",93.37,90.66,94.21,66.31,95.79,102.29,97.97
"2019-04",93.98,91.36,95.2,69.74,96.22,100.85,99.93
"2019-05",93.37,89.22,95.82,69.85,99.51,99.98,100.21
"2019-06",95.88,91.69,97.76,65.09,97.79,101.22,104.09
"2019-07",94.99,92.64,96.79,72.49,95.82,101.38,101.85
"2019-08",94.05,91.31,95.65,70.92,95.08,100.31,101.2
"2019-09",94.48,91.01,96.97,73.89,93.7,100.64,102.2
"2019-10",94.71,91.65,96.56,74.65,95.79,99.22,103.25
"2019-11",95.05,92.61,96.64,74.65,97.49,99.8,101.39
"2019-12",95.26,92.32,97.15,79.21,94.25,99.41,102.29
"2020-01",95.08,91.14,97.15,75.98,95.04,101.16,101.42
"2020-02",95.41,95.28,96.12,78.19,94.97,98.23,100.13
"2020-03",88.07,99.18,77.87,78.58,69.08,76.96,79.89
"2020-04",76.82,94.31,59.95,75.01,54.23,66.9,48.27
"2020-05",100.8,106.58,96.88,93.81,115.36,99.76,87.06
"2020-06",99.45,99.03,99.96,93.63,117.54,102.92,92.82
"2020-07",99.08,100.31,98.98,85.99,110.09,98.02,96.01
"2020-08",97.95,98.16,98.21,90.74,105.85,99.5,94.84
"2020-09",96.54,95.97,98.18,86.12,104.28,95.76,98.26
"2020-10",100.22,101.02,100.48,95.27,107.78,101.11,99.1
"2020-11",97.16,99.98,96.38,105.58,103.9,98.83,90.84
"2020-12",100.79,105.35,98.52,97.19,102.24,98.54,95.85
"2021-01",94.43,102.25,88.36,99.61,86.47,88.1,84.77
"2021-02",88.43,101.74,75.52,103.95,73.18,76.24,65.97
"2021-03",108.33,106.59,111.26,112.72,124.42,111.53,105.67
"2021-04",106.21,106.13,108.19,103.21,115.93,107.46,107.97
"2021-05",102.99,103.07,103.85,104,108.57,103.26,102.87
"2021-06",100.07,97.36,101.53,97.48,103.24,99.84,102.8
"2021-07",97.29,96.33,98.49,96.62,99.79,95.23,98.82
"2021-08",98.69,95.59,101.58,96.55,98.83,97.94,105.27
"2021-09",98.91,95.69,101.49,95.96,95.53,100.48,106.06
"2021-10",102.11,98.36,103.87,97.18,97.29,107.45,108.31
"2021-11",101.65,99.18,103.33,99.78,98.19,106.31,105.9
"2021-12",100.89,97.71,102.55,92.94,98.55,106.14,105.6
"2022-01",100.56,97.91,102.29,102.41,96.88,104.74,105.27
"2022-02",100.03,98.4,100.84,96.95,94.68,107.08,102.68
"2022-03",101.53,97.59,103.06,97.66,93.03,108.22,107.68
"2022-04",100.49,96.88,102.22,99.12,95.73,107.46,106.77
"2022-05",100.62,95.58,104.11,101.16,91.78,106.86,111.09
"2022-06",100.23,95.68,102.01,104.53,89.6,105.28,107.27
"2022-07",99.88,95.03,102.58,101.79,90.73,105.25,107.29
"2022-08",100.27,95.39,103.51,107.72,90.69,105.61,107.67
"2022-09",100.69,95.44,104.38,109.15,94.6,105.29,107.73
"2022-10",99.75,95.16,101.59,105.12,90.36,110.41,104.48
"2022-11",99.67,95.21,101.85,106.99,90.18,109.48,105.83
"2022-12",97.87,91.97,101.02,99.03,86.77,105.84,106.86
"2023-01",98.72,95.26,100.22,106.14,89.43,105.48,102.49
"2023-02",99.21,94.77,101.81,107.62,90.14,105.36,105.8
"2023-03",99.1,94.05,102.07,109.41,89.47,104.75,107.06
"2023-04",96.74,92.43,98.97,102.24,88.09,102.85,105
"2023-05",99.15,95.44,101.97,109.95,88.97,104.69,107.13
"2023-06",100.79,96.01,103.3,105.06,87.17,105.87,110.39
"2023-07",97.57,93.19,100.52,106.17,88.38,104.47,104.48
"2023-08",98.2,93.81,101.07,108.81,88.9,102.42,106.09
"2023-09",97.8,94.06,99.47,109.83,88.32,104.79,102
"2023-10",97.76,93.87,99.8,111.85,87.88,102.62,102.98
"2023-11",98.43,93.31,101.85,120.57,89.17,102.91,105.78
"2023-12",97.87,91.64,100.94,110.61,86.83,102.76,106.25
"2024-01",99,93.9,102.15,116.41,87.63,103.71,106.63
"2024-02",98.89,94.18,102.72,117.74,87.31,102.64,108.07
"2024-03",98.9,94.41,101.08,114.87,87.74,101.24,105.81
"2024-04",99.16,93.45,102.9,124.58,88.49,104.58,107.93
"2024-05",99.27,94.06,102.88,120.51,88.05,104.81,108.27
"2024-06",97.61,92.55,100.41,120.38,88.71,100.18,105.23
"2024-07",100.09,95.25,103.22,122.65,87.37,103.17,108.48
"2024-08",101.02,95.72,103.7,123.09,88.48,107.23,108.4
"2024-09",99.42,94.05,103.67,123.01,91.38,103.48,108.07
"2024-10",99.67,94.71,103.47,123.28,87.62,102.44,109.88
"2024-11",99.91,95.22,102.59,125.89,87.37,99.55,109.11
"2024-12",100.09,94.23,103.74,127.41,87.84,102.59,108.96
"2025-01",101.72,94.78,107.18,136.25,88.68,107.24,115.5
"2025-02",100.54,94.5,105.08,130.51,89.27,104.98,110.59
"2025-03",100.45,94.63,105.3,135.92,90.08,104.2,110.1
"2025-04",100.24,94.4,104.62,136.25,88.89,103.61,109.88
"2025-05",99.53,93.06,104.62,136.41,89.39,103.77,108.79
"2025-06",101.58,95.16,106.47,141.47,89.38,107.09,110.97
"2025-07",101.05,94.43,106.93,145.01,92.14,106.71,110.6
"2025-08",100.96,94.55,106.08,141.36,89.75,106.01,110.37
"2025-09",101.7,95.43,107.41,143.06,90.27,102.73,113.43
"2025-10",101.8,94.57,107.79,145.49,91.02,104.53,113.42
"2025-11",101.57,93.99,107.79,142.64,90.18,104.27,113.87
"2025-12",102.7,95.5,108.65,149.04,93.42,105.19,113.53
"2026-01",100.65,94.44,105.59,136.92,90.6,101.25,111.94
